Metric,Unit,Date,Amount
Gas Price,Gwei,01/01/20,9950157
Gas Price,Gwei,02/01/20,9882420
Gas Price,Gwei,03/01/20,9890691
Gas Price,Gwei,04/01/20,9836172
Gas Price,Gwei,05/01/20,9850572
Gas Price,Gwei,06/01/20,9882517
Gas Price,Gwei,07/01/20,9932658
Gas Price,Gwei,08/01/20,9907055
Gas Price,Gwei,09/01/20,9927885
Gas Price,Gwei,10/01/20,9828918
Gas Price,Gwei,11/01/20,9778596
Gas Price,Gwei,12/01/20,9488819
Gas Price,Gwei,13/01/20,9802048
Gas Price,Gwei,14/01/20,9858865
Gas Price,Gwei,15/01/20,9970190
Gas Price,Gwei,16/01/20,9956723
Gas Price,Gwei,17/01/20,9941135
Gas Price,Gwei,18/01/20,9901446
Gas Price,Gwei,19/01/20,9906843
Gas Price,Gwei,20/01/20,9661058
Gas Price,Gwei,21/01/20,9121042
Gas Price,Gwei,22/01/20,9863470
Gas Price,Gwei,23/01/20,9459344
Gas Price,Gwei,24/01/20,9936396
Gas Price,Gwei,25/01/20,9756422
Gas Price,Gwei,26/01/20,9808373
Gas Price,Gwei,27/01/20,9761536
Gas Price,Gwei,28/01/20,9951316
Gas Price,Gwei,29/01/20,9946217
Gas Price,Gwei,30/01/20,9943823
Gas Price,Gwei,31/01/20,9965391
Gas Price,Gwei,01/02/20,9930662
Gas Price,Gwei,02/02/20,9868597
Gas Price,Gwei,03/02/20,9956843
Gas Price,Gwei,04/02/20,9976581
Gas Price,Gwei,05/02/20,9977132
Gas Price,Gwei,06/02/20,9977475
Gas Price,Gwei,07/02/20,9980221
Gas Price,Gwei,08/02/20,9961106
Gas Price,Gwei,09/02/20,9937905
Gas Price,Gwei,10/02/20,9929364
Gas Price,Gwei,11/02/20,9947387
Gas Price,Gwei,12/02/20,9980496
Gas Price,Gwei,13/02/20,9978918
Gas Price,Gwei,14/02/20,9971897
Gas Price,Gwei,15/02/20,9968156
Gas Price,Gwei,16/02/20,9967729
Gas Price,Gwei,17/02/20,9969093
Gas Price,Gwei,18/02/20,9926178
Gas Price,Gwei,19/02/20,9970671
Gas Price,Gwei,20/02/20,9970635
Gas Price,Gwei,21/02/20,9966697
Gas Price,Gwei,22/02/20,9942022
Gas Price,Gwei,23/02/20,9935885
Gas Price,Gwei,24/02/20,9971013
Gas Price,Gwei,25/02/20,9977258
Gas Price,Gwei,26/02/20,9973504
Gas Price,Gwei,27/02/20,9977784
Gas Price,Gwei,28/02/20,9971477
Gas Price,Gwei,29/02/20,9948025
Gas Price,Gwei,01/03/20,9955520
Gas Price,Gwei,02/03/20,9951876
Gas Price,Gwei,03/03/20,9965313
Gas Price,Gwei,04/03/20,9964324
Gas Price,Gwei,05/03/20,9938404
Gas Price,Gwei,06/03/20,9966210
Gas Price,Gwei,07/03/20,9935053
Gas Price,Gwei,08/03/20,9947318
Gas Price,Gwei,09/03/20,9983841
Gas Price,Gwei,10/03/20,9976976
Gas Price,Gwei,11/03/20,9978008
Gas Price,Gwei,12/03/20,9984915
Gas Price,Gwei,13/03/20,9984776
Gas Price,Gwei,14/03/20,9980487
Gas Price,Gwei,15/03/20,9977220
Gas Price,Gwei,16/03/20,9982973
Gas Price,Gwei,17/03/20,9978567
Gas Price,Gwei,18/03/20,9970902
Gas Price,Gwei,19/03/20,9975078
Gas Price,Gwei,20/03/20,9972272
Gas Price,Gwei,21/03/20,9963856
Gas Price,Gwei,22/03/20,9936181
Gas Price,Gwei,23/03/20,9910355
Gas Price,Gwei,24/03/20,9898962
Gas Price,Gwei,25/03/20,9894921
Gas Price,Gwei,26/03/20,9978390
Gas Price,Gwei,27/03/20,9957272
Gas Price,Gwei,28/03/20,9971211
Gas Price,Gwei,29/03/20,9956005
Gas Price,Gwei,30/03/20,9975558
Gas Price,Gwei,31/03/20,9977042
Gas Price,Gwei,01/04/20,9970535
Gas Price,Gwei,02/04/20,9981494
Gas Price,Gwei,03/04/20,9979991
Gas Price,Gwei,04/04/20,9978490
Gas Price,Gwei,05/04/20,9977921
Gas Price,Gwei,06/04/20,9982107
Gas Price,Gwei,07/04/20,9982401
Gas Price,Gwei,08/04/20,9978652
Gas Price,Gwei,09/04/20,9979426
Gas Price,Gwei,10/04/20,9980029
Gas Price,Gwei,11/04/20,9973892
Gas Price,Gwei,12/04/20,9980030
Gas Price,Gwei,13/04/20,9982766
Gas Price,Gwei,14/04/20,9979157
Gas Price,Gwei,15/04/20,9983369
Gas Price,Gwei,16/04/20,9981320
Gas Price,Gwei,17/04/20,9980341
Gas Price,Gwei,18/04/20,9979353
Gas Price,Gwei,19/04/20,9977221
Gas Price,Gwei,20/04/20,9982833
